pid,name,num_tracks,num_samples,num_holdouts,actual_track_count
1000000,Party,75,5,70,5
1000016,school,78,5,73,5
1000020,Modern Music,68,5,63,5
1000023,lit 2.0,54,5,49,5
1000040,bbq,76,5,71,5
1000049,Classic Jams,65,5,60,5
1000052,dank,80,5,75,5
1000068,Dance,62,5,57,5
1000082,Pop Playlist,54,5,49,5
1000084,Oldies,53,5,48,5
1000092,windows down,55,5,50,5
1000094,august 2017,62,5,57,5
1000095,clasic rock,58,5,53,5
1000100,stubborn love,91,5,86,5
1000104,Kpop,61,5,56,5
1000105,Halloween,57,5,52,5
1000111,Romanticas,52,5,47,5
1000113,relax,55,5,50,5
1000115,New Songs!,55,5,50,5
1000116,its not a phase mom ,55,5,50,5
1000122,Mom,84,5,79,5
1000134,Summer Playlist,60,5,55,5
1000138,yay,99,5,94,5
1000141,✈️,93,5,88,5
1000160,gym,57,5,52,5
1000162,Pool Party,53,5,48,5
1000170,turn tf up,85,5,80,5
1000172,Throw back,68,5,63,5
1000189,throwback,93,5,88,5
1000194,Everyone,59,5,54,5
1000198,oldies,69,5,64,5
1000202,aye,65,5,60,5
1000214,Cardio ,66,5,61,5
1000219,oldies,55,5,50,5
1000230,violet,95,5,90,5
1000236,Freestyle,53,5,48,5
1000240,groovy,87,5,82,5
1000244,NO LYRICS!,62,5,57,5
1000248,random,58,5,53,5
1000249,Middle School Dance,73,5,68,5
1000251,camping,56,5,51,5
1000253,SUMMAAA,65,5,60,5
1000262,WorkOut,51,5,46,5
1000280,edgy,56,5,51,5
1000292,Sleep,83,5,78,5
1000304,Always Good,89,5,84,5
1000305,you know it ;) ,63,5,58,5
1000307,chillin,74,5,69,5
1000309,Lift ,68,5,63,5
1000313, Cowboy,94,5,89,5
1000314,Alive,72,5,67,5
1000320,yeah,55,5,50,5
1000328,the feels,91,5,86,5
1000335,road trip playlist,51,5,46,5
1000342,rock,55,5,50,5
1000343,Party Playlist,88,5,83,5
1000350,my songs,65,5,60,5
1000361,P*A*R*T*Y*,68,5,63,5
1000385,Party Music,99,5,94,5
1000386,spanish,58,5,53,5
1000388,EIGHTIES,85,5,80,5
1000389,young money,85,5,80,5
1000394,spring17,51,5,46,5
1000407,beach,75,5,70,5
