antecedents,consequents,antecedent_names,consequent_names,support,confidence,lift,conviction,antecedent_len,consequent_len
['spotify:track:0SGkqnVQo9KPytSri1H6cF'],['spotify:track:4Km5HrUvYTaSUfiSGPJeQR'],['Bounce Back'],['Bad and Boujee (feat. Lil Uzi Vert)'],0.008509017018034037,0.4085365853658537,17.971045101512466,1.6522863973563,1,1
['spotify:track:5kjyiH6but1t2UDXq15aeS'],['spotify:track:4dGJf1SER1T6ooX46vwzRB'],['Toes'],['Chicken Fried'],0.00762001524003048,0.6382978723404255,40.20765957446808,2.720816088691,1,1
['spotify:track:4dGJf1SER1T6ooX46vwzRB'],['spotify:track:5kjyiH6but1t2UDXq15aeS'],['Chicken Fried'],['Toes'],0.00762001524003048,0.48000000000000004,40.20765957446809,1.9001191848537544,1,1
['spotify:track:1yEwEiTpsaPhQi9lb5EVV4'],['spotify:track:4dGJf1SER1T6ooX46vwzRB'],['Knee Deep (feat. Jimmy Buffett)'],['Chicken Fried'],0.007493014986029972,0.6020408163265306,37.92375510204082,2.472929407397276,1,1
['spotify:track:4dGJf1SER1T6ooX46vwzRB'],['spotify:track:1yEwEiTpsaPhQi9lb5EVV4'],['Chicken Fried'],['Knee Deep (feat. Jimmy Buffett)'],0.007493014986029972,0.47200000000000003,37.923755102040815,1.8703673770983904,1,1
['spotify:track:6HZILIRieu8S0iqY8kIKhj'],['spotify:track:7KXjTSCq5nL1LoYtL7XAwS'],['DNA.'],['HUMBLE.'],0.007366014732029464,0.5576923076923077,22.066679551604174,2.2037304944175107,1,1
['spotify:track:5kjyiH6but1t2UDXq15aeS'],['spotify:track:1yEwEiTpsaPhQi9lb5EVV4'],['Toes'],['Knee Deep (feat. Jimmy Buffett)'],0.007112014224028448,0.5957446808510638,47.866261398176285,2.4428966752670345,1,1
['spotify:track:1yEwEiTpsaPhQi9lb5EVV4'],['spotify:track:5kjyiH6but1t2UDXq15aeS'],['Knee Deep (feat. Jimmy Buffett)'],['Toes'],0.007112014224028448,0.5714285714285714,47.866261398176285,2.3054779442892217,1,1
['spotify:track:0B8QzDH7YWih85V5SEMnyJ'],['spotify:track:2ANLarE8yHVsLWW21nj79M'],['Money Longer'],['You Was Right'],0.006731013462026924,0.4953271028037383,35.136987454744464,1.9535484811710362,1,1
['spotify:track:2ANLarE8yHVsLWW21nj79M'],['spotify:track:0B8QzDH7YWih85V5SEMnyJ'],['You Was Right'],['Money Longer'],0.006731013462026924,0.47747747747747743,35.136987454744464,1.8877865169523442,1,1
['spotify:track:6Ius4TC0L3cN74HT7ENE6e'],['spotify:track:62vpWI1CHwFy7tMIcSStl8'],['Wet Dreamz'],['No Role Modelz'],0.006604013208026416,0.48148148148148145,17.96770229945585,1.8768913966399359,1,1
['spotify:track:5HGibWoxnkYSkl6mHmAlOE'],['spotify:track:03fT3OHB9KyMtGMt2zwqCT'],"[""That's My Kind Of Night""]",['Play It Again'],0.006477012954025908,0.49038461538461536,35.102622377622374,1.9348512659289472,1,1
['spotify:track:7KOlJ92bu51cltsD9KU5I7'],['spotify:track:4Km5HrUvYTaSUfiSGPJeQR'],['T-Shirt'],['Bad and Boujee (feat. Lil Uzi Vert)'],0.006477012954025908,0.47222222222222215,20.772501551831155,1.8516637033274064,1,1
['spotify:track:03fT3OHB9KyMtGMt2zwqCT'],['spotify:track:5HGibWoxnkYSkl6mHmAlOE'],['Play It Again'],"[""That's My Kind Of Night""]",0.006477012954025908,0.4636363636363636,35.102622377622374,1.8397816456649863,1,1
['spotify:track:6eYYm2xwrvdav2yakF3cqg'],['spotify:track:2FviG1Ma0M0BSZbqaDvw0x'],['Leave The Night On'],['House Party'],0.0063500127000254,0.5102040816326531,35.551742821022216,2.0123666497332997,1,1
['spotify:track:2FviG1Ma0M0BSZbqaDvw0x'],['spotify:track:6eYYm2xwrvdav2yakF3cqg'],['House Party'],['Leave The Night On'],0.0063500127000254,0.4424778761061947,35.551742821022216,1.771326971225371,1,1
['spotify:track:4gmmRb6bZJffOOiww1JGTO'],['spotify:track:6fwdbPMwP1zVStm8FybmkO'],['No Heart'],['X (feat. Future)'],0.006223012446024892,0.6712328767123288,41.946727549467276,2.992993819320972,1,1
['spotify:track:7vWGeYZJUzBXKGPro05UXS'],['spotify:track:2FviG1Ma0M0BSZbqaDvw0x'],['Take Your Time'],['House Party'],0.006223012446024892,0.5051546391752577,35.19989052093787,1.9918322961645922,1,1
['spotify:track:2FviG1Ma0M0BSZbqaDvw0x'],['spotify:track:7vWGeYZJUzBXKGPro05UXS'],['House Party'],['Take Your Time'],0.006223012446024892,0.43362831858407086,35.19989052093788,1.7438742221234445,1,1
['spotify:track:0BCy325UZyR9z0t0uxwn2N'],['spotify:track:5kNe7PE09d6Kvw5pAsx23n'],['H.O.L.Y.'],['Die A Happy Man'],0.006096012192024384,0.4752475247524752,29.465346534653463,1.87492391965916,1,1
['spotify:track:6p8NuHm8uCGnn2Dtbtf7zE'],['spotify:track:7KOlJ92bu51cltsD9KU5I7'],['Slippery (feat. Gucci Mane)'],['T-Shirt'],0.006096012192024384,0.4444444444444444,32.40329218106996,1.7753111506223012,1,1
['spotify:track:7KOlJ92bu51cltsD9KU5I7'],['spotify:track:6p8NuHm8uCGnn2Dtbtf7zE'],['T-Shirt'],['Slippery (feat. Gucci Mane)'],0.006096012192024384,0.4444444444444444,32.40329218106996,1.7753111506223012,1,1
['spotify:track:2FviG1Ma0M0BSZbqaDvw0x'],['spotify:track:5kNe7PE09d6Kvw5pAsx23n'],['House Party'],['Die A Happy Man'],0.006096012192024384,0.4247787610619469,26.33628318584071,1.710421836228288,1,1
['spotify:track:7jslhIiELQkgW9IHeYNOWE'],['spotify:track:27GmP9AWRs744SzKcpJsTZ'],['Big Rings'],['Jumpman'],0.005969011938023876,0.5222222222222223,20.979478458049886,2.0409236167309546,1,1
['spotify:track:4Q3N4Ct4zCuIHuZ65E3BD4'],['spotify:track:0VgkVdmE4gld66l8iyGjgx'],['Tunnel Vision'],['Mask Off'],0.005969011938023876,0.4392523364485981,26.402083184704285,1.7536639573279145,1,1
['spotify:track:2Fk0WwAqTBesLtKg97nojy'],['spotify:track:5kNe7PE09d6Kvw5pAsx23n'],['Crash And Burn'],['Die A Happy Man'],0.005842011684023368,0.5227272727272727,32.40909090909091,2.0614439324116742,1,1
['spotify:track:1WoOzgvz6CgH4pX6a1RKGp'],['spotify:track:5NQbUaeTEOGdD6hHcre0dZ'],['My Way (feat. Monty)'],['679 (feat. Remy Boyz)'],0.005842011684023368,0.5168539325842697,25.59564695074553,2.0279725443171817,1,1
['spotify:track:7vWGeYZJUzBXKGPro05UXS'],['spotify:track:6eYYm2xwrvdav2yakF3cqg'],['Take Your Time'],['Leave The Night On'],0.00571501143002286,0.4639175257731959,37.27435304018515,1.8421679920282918,1,1
['spotify:track:6eYYm2xwrvdav2yakF3cqg'],['spotify:track:7vWGeYZJUzBXKGPro05UXS'],['Leave The Night On'],['Take Your Time'],0.00571501143002286,0.4591836734693877,37.27435304018514,1.8262780299145502,1,1
['spotify:track:4pdPtRcBmOSQDlJ3Fk945m'],['spotify:track:7BKLCZ1jbUBVqRi2FVlTVw'],['Let Me Love You'],['Closer'],0.00571501143002286,0.44117647058823534,17.19714618520676,1.74356643450129,1,1
['spotify:track:3ts6xK5GzfMAAriT9AIBmP'],['spotify:track:4dGJf1SER1T6ooX46vwzRB'],['Barefoot Blue Jean Night'],['Chicken Fried'],0.00571501143002286,0.4326923076923077,27.25615384615385,1.7347287575931083,1,1
['spotify:track:16qYlQ6koFxYVbiJbGHblz'],['spotify:track:62vpWI1CHwFy7tMIcSStl8'],['G.O.M.D.'],['No Role Modelz'],0.0055880111760223524,0.45833333333333337,17.103870458135862,1.7966823625954944,1,1
['spotify:track:1soxUgYIZb1qx1c7o1Lc7z'],['spotify:track:5kNe7PE09d6Kvw5pAsx23n'],['Drunk On A Plane'],['Die A Happy Man'],0.0055880111760223524,0.4489795918367347,27.836734693877553,1.7855436081242535,1,1
['spotify:track:4pdPtRcBmOSQDlJ3Fk945m'],['spotify:track:6DNtNfH8hXkqOX1sjqmI7p'],['Let Me Love You'],['Cold Water (feat. Justin Bieber & MØ)'],0.0055880111760223524,0.4313725490196079,27.841208614593384,1.7313725661934083,1,1
['spotify:track:5ZManJDV3CexO66nRCkdiV'],['spotify:track:5kNe7PE09d6Kvw5pAsx23n'],['Break Up with Him'],['Die A Happy Man'],0.005461010922021844,0.5512820512820513,34.17948717948718,2.192626728110599,1,1
['spotify:track:5T6DM9qjjngWnukcw0svkX'],['spotify:track:6s9ICeczYOfbHHIaSMq9jd'],['Round Here'],['Get Your Shine On'],0.005461010922021844,0.5180722891566265,45.834844997969405,2.051546228092456,1,1
['spotify:track:0jx8zY5JQsS4YEQcfkoc5C'],['spotify:track:0v9Wz8o0BT8DU38R4ddjeH'],['Angels (feat. Saba)'],['No Problem (feat. Lil Wayne & 2 Chainz)'],0.005461010922021844,0.4886363636363636,19.93535091851154,1.907622837467897,1,1
['spotify:track:6s9ICeczYOfbHHIaSMq9jd'],['spotify:track:0i5el041vd6nxrGEU8QRxy'],['Get Your Shine On'],['Cruise'],0.005461010922021844,0.48314606741573035,33.66630207815452,1.9070164879460196,1,1
['spotify:track:6s9ICeczYOfbHHIaSMq9jd'],['spotify:track:5T6DM9qjjngWnukcw0svkX'],['Get Your Shine On'],['Round Here'],0.005461010922021844,0.48314606741573035,45.834844997969405,1.914388024428223,1,1
['spotify:track:43PuMrRfbyyuz4QpZ3oAwN'],['spotify:track:3pXF1nA74528Edde4of9CC'],['Exchange'],"[""Don't""]",0.005461010922021844,0.43,29.188103448275864,1.7285402991858614,1,1
['spotify:track:7lL3MvFWFFSD25pBz72Agj'],['spotify:track:62vpWI1CHwFy7tMIcSStl8'],['A Tale of 2 Citiez'],['No Role Modelz'],0.005334010668021336,0.5060240963855422,18.88357220350597,1.970142550041198,1,1
