pid,list_artist_uri
1000000,"spotify:artist:5vCOdeiQt9LyzdI87kt5Sh, spotify:artist:163tK9Wjr9P9DmM0AVK7lm"
1000001,"spotify:artist:3koiLjNrgRTNbOwViDipeA, spotify:artist:6is2U7I1jlI8PjxNZOHIMV, spotify:artist:46CH1Gp8l8QVly8bpG9JFG, spotify:artist:4TwHRCIu3Xg9fjS3l7owkp, spotify:artist:4QQgXkCYTt3BlENzhyNETg, spotify:artist:2i1IdHG5w0wiSmJGoqAGlj, spotify:artist:53QzNeFpzAaXYnrDBbDrIp, spotify:artist:68kACMx6A3D2BYiO056MeQ, spotify:artist:3DvdryKH4O95ZnsUZJKXpt, spotify:artist:187xgSpsFH8mMbAcoCW0zE"
1000009,"spotify:artist:2h93pZq0e7k5yf4dywlkpM, spotify:artist:0hEurMDQu99nJRq8pTxO14, spotify:artist:4dpARuHxo51G3z768sgnrY"
1000016,"spotify:artist:4AVFqumd2ogHFlRbKIjp1t, spotify:artist:53XhwfbYqKCa1cC15pYq2q, spotify:artist:0MlOPi3zIDMVrfA9R04Fe3, spotify:artist:3AQRLZ9PuTAozP28Skbq8V, spotify:artist:4UXqAaa6dQYAk18Lv7PEgX"
1000020,"spotify:artist:3kVUvbeRdcrqQ3oHk5hPdx, spotify:artist:6CwfuxIqcltXDGjfZsMd9A, spotify:artist:2xe8IXgCTpwHE3eA9hTs4n, spotify:artist:4S1nvNHWiZLP4rzwmULmUa, spotify:artist:1yAwtBaoHLEDWAnWR87hBT"
1000023,"spotify:artist:4R3mzuQZhfwDkjdE1wx31O, spotify:artist:60d24wfXkVzDSfLS6hyCjZ, spotify:artist:1kwGj7uDO5WXVXtQLvGJr0, spotify:artist:2qxJFvFYMEDqd7ui6kSAcq, spotify:artist:4sTQVOfp9vEMCemLw50sbu"
1000029,"spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ, spotify:artist:77tT1kLj6mCWtFNqiOmP9H, spotify:artist:77SW9BnxLY8rJ0RciFqkHh, spotify:artist:10tysauSA5JATqniBDu2Ed, spotify:artist:1SImpQO0GbjRgvlwCcCtFo, spotify:artist:20JZFwl6HVl6yg8a4H3ZqK, spotify:artist:2qk9voo8llSGYcZ6xrBzKx, spotify:artist:4Rxn7Im3LGfyRkY2FlHhWi, spotify:artist:3YQKmKGau1PzlVlkL1iodx, spotify:artist:6l3HvQ5sa6mXTsMTB19rO5, spotify:artist:3XHO7cRUPCLOr6jwp8vsx5, spotify:artist:2msPoIYdnKVeuOOM960FC2, spotify:artist:6CwfuxIqcltXDGjfZsMd9A, spotify:artist:4V8LLVI7PbaPR0K2TGSxFF, spotify:artist:0SwO7SWeDHJijQ3XNS7xEE, spotify:artist:7iZtZyCzp3LItcw1wtPI3D, spotify:artist:7t0rwkOPGlDPEhaOcVtOt9"
1000045,"spotify:artist:5BuTOT6mPoNZ5EmaPheBI9, spotify:artist:5UdPkKWd8YNR5xGcmqH9QJ, spotify:artist:0P0do9GwiSgweSF6Ui3mrv, spotify:artist:4V8U8U6LwsHGyRTLCt9t19, spotify:artist:4lxfqrEsLX6N1N4OCSkILp, spotify:artist:4mmMtabvFCKA6HfmVmitNH, spotify:artist:5sy77gt4bfsLcSQ8GIe4ZZ, spotify:artist:5xk0kRuXn1zToTHpHAqpui, spotify:artist:2LJxr7Pt3JnP60eLxwbDOu, spotify:artist:3QcGV278a6mmLRTOK29WBP, spotify:artist:4fqk0Vw0VrIY8O2eWtmQO2, spotify:artist:6O3ZB5Cz5CNT3wQWouKcNJ, spotify:artist:5AX847SDSKlQyXoEOVdHNG, spotify:artist:0LtVJXnPR8msCJiE2DjHxy, spotify:artist:6QRb3jE2lCfMU1iUuVQMaV"
1000049,"spotify:artist:69Mj3u4FTUrpyeGNSIaU6F, spotify:artist:3PhoLpVuITZKcymswpck5b, spotify:artist:3eqjTLE0HfPfh78zjh6TqT, spotify:artist:58lV9VcRSjABbAbfWS6skp"
1000052,"spotify:artist:4kubsO16bEfCADaVUyoYb6, spotify:artist:1S0vL284jxZYKtZQ2jsQ2X, spotify:artist:5juOkIIy18sFw9L30syt1Z, spotify:artist:5oOhM2DFWab8XhSdQiITry"
1000062,"spotify:artist:0CEFCo8288kQU7mJi25s6E, spotify:artist:7qAcXJgt1PWnxwUgxMdyuk, spotify:artist:1UdQqCUR7RwB9YYJONwbdM, spotify:artist:5S6hjAxgxjsLylsTtMIimO, spotify:artist:3TOqt5oJwL9BE2NG9MEwDa, spotify:artist:70eNABm9r2VXOGYW4r209H, spotify:artist:70BYFdaZbEKbeauJ670ysI, spotify:artist:0nmQIMXWTXfhgOBdNzhGOs, spotify:artist:2ye2Wgw4gimLv2eAKyk1NB, spotify:artist:1E4r4z7ivGUcSAnCbINJ9v, spotify:artist:3qm84nBOXUEQ2vnTfUTTFC, spotify:artist:6gZq1Q6bdOxsUPUG1TaFbF, spotify:artist:6XyY86QOPPrYVGvF9ch6wz, spotify:artist:6KO6G41BBLTDNYOLefWTMU"
1000067,"spotify:artist:7oPftvlwr6VrsViSDV7fJY, spotify:artist:7FBcuc1gsnv6Y1nwFtNRCb, spotify:artist:1Ffb6ejR6Fe5IamqA5oRUF, spotify:artist:26VFTg2z8YR0cCuwLzESi2"
1000068,"spotify:artist:3TVXtAsR1Inumwj472S9r4, spotify:artist:5SbkVQYYzlw1kte75QIabH, spotify:artist:6PXS4YHDkKvl1wkIl4V8DL, spotify:artist:5pKCCKE2ajJHZ9KAiaK11H"
1000070,"spotify:artist:04gDigrS5kc9YWfZHwBETP, spotify:artist:3e7awlrlDSwF3iM0WBjGMp, spotify:artist:7n2wHs1TKAczGzO7Dd2rGr, spotify:artist:4NHQUGzhtTLFvgF5SZesLK, spotify:artist:4dpARuHxo51G3z768sgnrY, spotify:artist:7iZtZyCzp3LItcw1wtPI3D, spotify:artist:3TVXtAsR1Inumwj472S9r4, spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ, spotify:artist:60d24wfXkVzDSfLS6hyCjZ, spotify:artist:5WUlDfRSoLAfcVSX1WnrxN, spotify:artist:540vIaP2JwjQb9dm3aArA4, spotify:artist:6lB8vOoI4DRrrVxXwuV19c, spotify:artist:0AJUYWKztkg5dnrHDIBv47, spotify:artist:02A3cEvlLLCbIMVDrK2GHV, spotify:artist:0fiWOxhsBsQQvFDtxUQWo0, spotify:artist:1Hsdzj7Dlq2I7tHP7501T4, spotify:artist:1HBjj22wzbscIZ9sEb5dyf, spotify:artist:1Fr6agZ6iSM5Ynn2k4C8sc, spotify:artist:0du5cEVh5yTK9QJze8zA0C, spotify:artist:6S2OmqARrzebs0tKUEyXyp, spotify:artist:3tQx1LPXbsYjE9VwN1Peaa, spotify:artist:6nxWCVXbOlEVRexSbLsTer"
1000072,"spotify:artist:5LHRHt1k9lMyONurDHEdrp, spotify:artist:13ubrt8QOOCPljQ2FL1Kca, spotify:artist:5IcR3N7QB1j6KBL8eImZ8m, spotify:artist:7c0XG5cIJTrrAgEC3ULPiq, spotify:artist:7iZtZyCzp3LItcw1wtPI3D, spotify:artist:3ipn9JLAPI5GUEo4y4jcoi, spotify:artist:0c173mlxpT3dSFRgMO8XPh, spotify:artist:3KV3p5EY4AvKxOlhGHORLg, spotify:artist:55Aa2cqylxrFIXC767Z865, spotify:artist:6DPYiyq5kWVQS4RGwxzPC7, spotify:artist:1RyvyyTE3xzB2ZywiAwp0i, spotify:artist:0A0FS04o6zMoto8OKPsDwY, spotify:artist:6oMuImdp5ZcFhWP0ESe6mG, spotify:artist:3TVXtAsR1Inumwj472S9r4, spotify:artist:20sxb77xiYeusSH8cVdatc, spotify:artist:1sBkRIssrMs1AbVkOJbc7a, spotify:artist:5dHt1vcEm9qb8fCyLcB3HL"
1000075,"spotify:artist:2mxe0TnaNL039ysAj51xPQ, spotify:artist:3b8QkneNDz4JHKKKlLgYZg, spotify:artist:738wLrAtLtCtFOLvQBXOXp, spotify:artist:6LuN9FCkKOj5PcnpouEgny, spotify:artist:0EmeFodog0BfCgMzAIvKQp, spotify:artist:6vWDO969PvNqNYHIOW5v0m, spotify:artist:4nDoRrQiYLoBzwC5BhVJzF, spotify:artist:1uNFoZAHBGtllmzznpCI3s, spotify:artist:2kucQ9jQwuD8jWdtR9Ef38, spotify:artist:04gDigrS5kc9YWfZHwBETP, spotify:artist:0PxzGnCYBpSuaI49OR94cA, spotify:artist:06HL4z0CvFAxyc27GXpf02, spotify:artist:6VuMaDnrHyPL1p4EHjYLi7, spotify:artist:1HBjj22wzbscIZ9sEb5dyf, spotify:artist:5JZ7CnR6gTvEMKX4g70Amv, spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai, spotify:artist:4bL2B6hmLlMWnUEZnorEtG, spotify:artist:6VD4UEUPvtsemqD3mmTqCR, spotify:artist:0QHgL1lAIqAw0HtD7YldmP, spotify:artist:2QSPrJfYeRXaltEEiriXN9, spotify:artist:2gUMs9PE8XZVQyzCDqaYmW, spotify:artist:4sTQVOfp9vEMCemLw50sbu"
1000082,"spotify:artist:66CXWjxzNUsdJxJ2JdwvnR, spotify:artist:2wUjUUtkb5lvLKcGKsKqsR, spotify:artist:1l8Fu6IkuTP0U5QetQJ5Xt, spotify:artist:3TVXtAsR1Inumwj472S9r4"
1000083,"spotify:artist:03a5eVjzFyQlR4XyVSwt4t, spotify:artist:3FfvYsEGaIb52QPXhg4DcH, spotify:artist:13YmWQJFwgZrd4bf5IjMY4, spotify:artist:7FY5V3XMwlNBPitEjXowHQ, spotify:artist:718COspgdWOnwOFpJHRZHS, spotify:artist:1n2pb9Tsfe4SwAjmUac6YT, spotify:artist:7vCtweS8UVAXTyau2j0rDT, spotify:artist:58nB2Z6IiDdTUTwHYw56xI, spotify:artist:4MoAOfV4ROWofLG3a3hhBN, spotify:artist:7tje8UB3cuR1ZfeJx2U38T, spotify:artist:1UTPBmNbXNTittyMJrNkvw, spotify:artist:17ewtqMhsRUPRdhpYLzMxg, spotify:artist:3oSJ7TBVCWMDMiYjXNiCKE, spotify:artist:1dID9zgn0OV0Y8ud7Mh2tS, spotify:artist:7x8nK0m0cP2ksQf0mjWdPS, spotify:artist:0OpWIlokQeE7BNQMhuu2Nx, spotify:artist:4YLtscXsxbVgi031ovDDdh"
1000084,"spotify:artist:3RwQ26hR2tJtA8F9p2n7jG, spotify:artist:3oDbviiivRWhXwIE8hxkVV"
1000085,"spotify:artist:2ic4xySjQ39N7DJ0HZemeG, spotify:artist:2KOxHm9lGE9lFZDQdebD6B, spotify:artist:75dQReiBOHN37fQgWQrIAJ, spotify:artist:0B3N0ZINFWvizfa8bKiz4v, spotify:artist:7Ln80lUS6He07XvHI8qqHH, spotify:artist:6GkJh85o22LfD2vgL9DP6f, spotify:artist:3YQKmKGau1PzlVlkL1iodx, spotify:artist:26T3LtbuGT1Fu9m0eRq5X3, spotify:artist:7jdFEYD2LTYjfwxOdlVjmc, spotify:artist:1zTAQ6zkGz2L2i6lfR30EX, spotify:artist:470WlqN9HSRDGNaMufeHHF, spotify:artist:163tK9Wjr9P9DmM0AVK7lm, spotify:artist:5cIc3SBFuBLVxJz58W2tU9, spotify:artist:7EQ0qTo7fWT7DPxmxtSYEc, spotify:artist:6VDdCwrBM4qQaGxoAyxyJC, spotify:artist:4AcHt3JxKy59IX7JNNlZn4, spotify:artist:4hz8tIajF2INpgM0qzPJz2, spotify:artist:4S1nvNHWiZLP4rzwmULmUa, spotify:artist:0K1q0nXQ8is36PzOKAMbNe, spotify:artist:42crL07E4WPfVovyUtMpvC"
1000086,"spotify:artist:0OcclcP5o8VKH2TRqSY2A7, spotify:artist:0YC192cP3KPCRWx8zr8MfZ, spotify:artist:6DQsmplq17UDA3zmiybbSb, spotify:artist:6uothxMWeLWIhsGeF7cyo4, spotify:artist:0jW6R8CVyVohuUJVcuweDI, spotify:artist:03GruNQP8X25PCoWzdvIGZ"
1000088,"spotify:artist:6jdObwsrIjSRnBbMw6lPBj, spotify:artist:4F84IBURUo98rz4r61KF70, spotify:artist:6deZN1bslXzeGvOLaLMOIF, spotify:artist:34jw2BbxjoYalTp8cJFCPv, spotify:artist:5WUlDfRSoLAfcVSX1WnrxN, spotify:artist:6qXwLwTLdA44HYsA26vaNU, spotify:artist:08F3Y3SctIlsOEmKd6dnH8, spotify:artist:1w5Kfo2jwwIPruYS2UWh56, spotify:artist:0nmQIMXWTXfhgOBdNzhGOs, spotify:artist:25IG9fa7cbdmCIy3OnuH57, spotify:artist:1SZMaiNHfdUuU0qZKZ6y62, spotify:artist:55Aa2cqylxrFIXC767Z865, spotify:artist:2SNzxY1OsSCHBLVi77mpPQ, spotify:artist:7dGJo4pcD2V6oG8kP0tJRR, spotify:artist:3AO6RTDA16mg8czQI5Y9K0, spotify:artist:1LZEQNv7sE11VDY3SdxQeN, spotify:artist:5Rl15oVamLq7FbSb0NNBNy, spotify:artist:0hEurMDQu99nJRq8pTxO14"
1000092,"spotify:artist:4j56EQDQu5XnL7R3E9iFJT, spotify:artist:63yrD80RY3RNEM2YDpUpO8, spotify:artist:1dWEYMPtNmvSVaDNLgB6NV, spotify:artist:49tQo2QULno7gxHutgccqF"
1000094,"spotify:artist:5pUo3fmmHT8bhCyHE52hA6, spotify:artist:7CajNmpbOovFoOoasH2HaY, spotify:artist:6M2wZ9GZgrQXHCFfjv46we, spotify:artist:57WHJIHrjOE3iAxpihhMnp, spotify:artist:5JZ7CnR6gTvEMKX4g70Amv"
1000095,"spotify:artist:3EhbVgyfGd7HkpsagwL9GS, spotify:artist:7Ey4PD4MYsKc5I2dolUwbH, spotify:artist:3zXw2Eh96iTT51pytzHdZi, spotify:artist:2UZMlIwnkgAEDBsw1Rejkn, spotify:artist:4tX2TplrkIP4v05BNC903e"
1000100,"spotify:artist:5cIc3SBFuBLVxJz58W2tU9, spotify:artist:1hzfo8twXdOegF3xireCYs, spotify:artist:5cTn7jRVGqTdmgMW75FIal, spotify:artist:4NGiEU3Pkd8ASRyQR30jcA, spotify:artist:1g1yxsNVPhMUl9GrMjEb2o"
