pid,list_track_uri
1000000,"spotify:track:66U0ASk1VHZsqIkpMjKX3B, spotify:track:5MhsZlmKJG6X5kTHkdwC4B, spotify:track:0GZoB8h0kqXn7XFm4Sj06k, spotify:track:35kahykNu00FPysz3C2euR, spotify:track:3G6hD9B2ZHOsgf4WfNu7X1"
1000001,"spotify:track:3kpM8OxeMaaAWI9pErdj1S, spotify:track:4sj8qFcEDnRPNv3tBbUVUf, spotify:track:68WCHvnx4IPkzvgEyHXkGD, spotify:track:3VZmChrnVW8JK6ano4gSED, spotify:track:0m6i2lZNgIV4OOyEkFlKFz, spotify:track:0JWeCKQU60BPmDkYFa9zN3, spotify:track:3VZmChrnVW8JK6ano4gSED, spotify:track:7av4raprzW2bWdjyAaH3hz, spotify:track:4BNhasx75KbS10jHq3VZTz, spotify:track:1srD2uc11TcQiOmHHrJp8M, spotify:track:3ApIYu95WxjzpQCnsLBbrv, spotify:track:1HdNTlZrGTlgxDn31GB6Sv, spotify:track:6Ycf7Ch2VlEKlORbz7yfpJ, spotify:track:2MJl8m9AbWgXLq4Ku7wWCX, spotify:track:1Df1rxgMob1qQudexDEKuu"
1000009,"spotify:track:7rPLZ8Krm6CZIbraFUlnWZ, spotify:track:4LloVtxNZpeh7q7xdi1DQc, spotify:track:3RgR3cFZ6xh7MlB9DURK6e, spotify:track:7hR5toSPEgwFZ78jfHdANM, spotify:track:0HLWvLKQWpFdPhgk6ym58n, spotify:track:4gs07VlJST4bdxGbBsXVue, spotify:track:1VMdwVq0yaTc4DeqSCi7DO, spotify:track:0CETmgFGt8Ne8vLnaLcduU, spotify:track:0EUSbTvyZfo9QOcxunL9Ro, spotify:track:7vFv0yFGMJW3qVXbAd9BK9, spotify:track:1RywwImkBFUEVcRTBmw7vL, spotify:track:1aiDlPLPljMFUylWjMZras, spotify:track:7keXdrB4mz57u4b8YkCwag, spotify:track:2jdAk8ATWIL3dwT47XpRfu, spotify:track:4OT8GH9u9Gx7ydJ49ULunN, spotify:track:0HHdujGjOZChTrl8lJWEIq, spotify:track:78DwRIo6Vj6wqteyerGetr, spotify:track:03XjpGGdsIPouALXem2Cku, spotify:track:3SktMqZmo3M9zbB7oKMIF7, spotify:track:5RYTpsSI7op7UZznXWqhIP, spotify:track:5DydMbw2U5Oh1OckJIsniN, spotify:track:5FPnjikbwlDMULCCCa6ZCJ, spotify:track:7cZ3yjXUsoDsSAUtnf0F8V, spotify:track:5gbxzSqABThINGDb7vIiwe"
1000016,"spotify:track:6WQLkih8nE0JdUCEyLaGnQ, spotify:track:37sINbJZcFdHFAsVNsPq1i, spotify:track:0yhPEz5KxlDwckGJaMlZqM, spotify:track:5j9iuo3tMmQIfnEEQOOjxh, spotify:track:4eLSCSELtKxZwXnFbNLXT5"
1000020,"spotify:track:4PvD06Pmbm2rHG2JjSlElF, spotify:track:57nNNkgk768QVXq3uHxu5e, spotify:track:3y8AEUef1AVfr0npU5UOa9, spotify:track:5jJ69cMDMC0aeWPjZo6VP2, spotify:track:02b5L9jExmkRTdUTqXFzmR"
1000023,"spotify:track:6fKEplI9iN0JMHsRGQESaT, spotify:track:3ebXMykcMXOcLeJ9xZ17XH, spotify:track:1J9KJgXKFRqKGIzmJ7GjS3, spotify:track:0dA2Mk56wEzDgegdC6R17g"
1000029,"spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn, spotify:track:7ID2dydg1QFuWObmdhwzfm, spotify:track:25khomWgBVamSdKw7hzm3l, spotify:track:2nct2iLO868Xe31GUmwaAZ, spotify:track:7DdXf9x75iEVCHWfoRwRuR, spotify:track:2RUuKIHFHjk41E7YsJ9HNP, spotify:track:5fohLPNqO6TqwrZ7BoUWUT, spotify:track:0O53YcPBLyveU0jVYZpUgk, spotify:track:2Kt1XplPBQBsDKQDa6TssB, spotify:track:4sJgLbMLh7vyOjbsojGHC1, spotify:track:0kmnnk3chw9y2vRFAuk12A, spotify:track:0FpnCmQMQLRm9jT6LsGIc8, spotify:track:6LN3kDZPtOW1R1YayoQgH6, spotify:track:1SfoXU9q0EZtlgSLlrYBju, spotify:track:7jOvEsDIjHRH0LwCkwZSHS, spotify:track:4Ij6wDENH7lpOPIFMTU6RV, spotify:track:7lL3MvFWFFSD25pBz72Agj, spotify:track:60b6B2ULC85t4Y5IjZvP7A, spotify:track:5eB7w8UZJKjL5XmnC6Pctg, spotify:track:6xy6jNeNTYwjnKTDzMyHw2, spotify:track:4wzjNqjKAKDU82e8uMhzmr, spotify:track:57HwKH3pHLeelTkckr94qf, spotify:track:6VwBbL8CzPiC4QV66ay7oR"
1000040,"spotify:track:0rfGRC3ng0dxu0xZ3f1bWc, spotify:track:1azvKxDb5Vkph2KR7aq1Cx, spotify:track:1Gsv8f8KmowkF5BnfMIGKy"
1000045,"spotify:track:0HU5JnVaKNTWf6GykV9Zn8, spotify:track:0qxtQ8rf3W1nId3D2r0xH4, spotify:track:5k3U0OGYBccHdKJJu3HrUN, spotify:track:34nxgXFCPzDphUJGuRsn10, spotify:track:5E8yddtSG3sH4hw2SfwcgW, spotify:track:3s6nfqfT6kyLBT10vs0M4l, spotify:track:2rJFFUEl1LURkV0b0OARXx, spotify:track:6klpXs2uAjagnZMFkt4qkl, spotify:track:03xWMkKEbeO4SnylA53ipj, spotify:track:2dlxN435ZY9ruxGYND2Hq0, spotify:track:7tUSJY4nsDBJTjd1UXKRsT, spotify:track:6mDxu0xwhv5tn1oMTNUypu, spotify:track:6V58LMEeGuOfLkCRJKnItb, spotify:track:0loKEMa9DP6mLibdFMe6Uv, spotify:track:1m1lMBFsQmFHNEceXYHL0K, spotify:track:6xfazmMoilCmVh44gQ376g, spotify:track:3E99KpWAcYEnj64e86y6u9, spotify:track:6LBfozDVA7crIeuaPAVVlE, spotify:track:1lOSxJNCLvWm2bYaTcTSmK, spotify:track:0TCt7OFRdD8PQ6vTRQxNgQ, spotify:track:75VVIB2x1h6BfxD2PqOO57, spotify:track:0jkGkwy510cvhy0jYPFme4, spotify:track:6btdYzQ8eZFBrOlUKVHuz0"
1000049,"spotify:track:3KYiA4vq6RPO1dE2XROXd8, spotify:track:252pAlbltOjOcUux4dRtjp, spotify:track:1ynmMEK1fkyiZ6Z6F3ThEt, spotify:track:7vIyudiO2Tr9hZ2yzfwQmx, spotify:track:12yHvSYFXI7PGzNecUvIDu"
