artist_name,artist_uri
!!!,spotify:artist:1mmehjf7eHA10uHMisZGJg
070 Shake,spotify:artist:12Zk1DFhCbHY6v3xep2ZjI
3 Doors Down,spotify:artist:2RTUTCvo6onsAnheUk3aL9
5 Seconds of Summer,spotify:artist:5Rl15oVamLq7FbSb0NNBNy
A Silent Film,spotify:artist:7HO5HS3yeokRBGVC4nSKIb
A Thousand Horses,spotify:artist:55RI2GNCfyXr0f14uIdhwd
A$AP Mob,spotify:artist:7yO4IdJjCEPz7YgZMe25iS
A.A. Bondy,spotify:artist:4l8UbJGiXxbfyDJPvcVH23
Aaron Lewis,spotify:artist:2t2XKfWKLXpFIjFwy1K8wx
Aaron Watson,spotify:artist:5BKzvAPtNXnt0LwzGvKOH3
Abstract,spotify:artist:7lkYBcrLM4JmVgeha1xNl6
Ace of Base,spotify:artist:5ksRONqssB7BR161NTtJAm
Adam Agin,spotify:artist:7xtMcD46huwc5ibeGZRBqB
Adam Jensen,spotify:artist:7ymrIsmp4vE7vAtcS12J4D
Adam Sanders,spotify:artist:17ewtqMhsRUPRdhpYLzMxg
Alan Menken,spotify:artist:5sy77gt4bfsLcSQ8GIe4ZZ
Alex Adair,spotify:artist:1mrrvBvbrm28iYaPlJ9mG5
ALMA,spotify:artist:6c0mTNAxJxlp9HpKTUZwA8
Alok,spotify:artist:0NGAZxHanS9e0iNHpR8f2W
Alter Bridge,spotify:artist:4DWX7u8BV0vZIQSpJQQDWU
Amos Lee,spotify:artist:0QrowybipCKUDnq5y10PD2
Anarbor,spotify:artist:09J4zbHHwNNlN2tfgJIg21
Andie Case,spotify:artist:4LtnUsI4DvVDN9U6Yqr8Mh
Andrew Belle,spotify:artist:3UAk61T8PItbpgEi9u7ofY
Andy Mineo,spotify:artist:1TMrnxBwZfmfRxsGzkNIHw
Angel Olsen,spotify:artist:6mKqFxGMS5TGDZI3XkT5Rt
Angie Stone,spotify:artist:2hWr3AjjKOCVmWcwvuT4uM
Anna Kendrick,spotify:artist:6xfqnpe2HnLVUaYXs2F8YS
Anonymuz,spotify:artist:625BWS4LmjJe3a82OCSFsm
Anthony D'Amato,spotify:artist:1oplL2hHYq7CQykvSbd6gy
Anthony Ramos,spotify:artist:660YptcR0hNHJ8iEr1qcse
Artist Vs Poet,spotify:artist:3kYFawNQVZ00FQbgs4rVBe
Ashanti,spotify:artist:5rkVyNGXEgeUqKkB5ccK83
Ashford & Simpson,spotify:artist:2EURsXo9qlt1aMWlviGCRi
Asking Alexandria,spotify:artist:1caBfBEapzw8z2Qz9q0OaQ
Astro,spotify:artist:0V2YTCyeeSs4sivZL99x3g
Atlas Bound,spotify:artist:6107PIkQDuEUcdpZqSzQsu
Aubrey,spotify:artist:5U5gGBQyUDAQV6kgNjgmnI
August Burns Red,spotify:artist:5p9CTsn5ueGU4oScNX1axu
Austin,spotify:artist:1G0lBcVlNP47XCd42Mm0vo
Austra,spotify:artist:1o43SzzuLoyOxqThmp7s0g
Ayo Jay,spotify:artist:1V6rvT87qMQvo6HAixjlpY
Backstreet Boys,spotify:artist:5rSXSAkZ67PYJSvpUpkOr7
Bag Raiders,spotify:artist:6fXEqmGQEt6ONuqVmwrN46
Baka Not Nice,spotify:artist:3yvCFkK57FXH7JIwZQ5CmU
Ballyhoo!,spotify:artist:6py4uFIC7T6RdrZnH6hFYJ
Bando Jonez,spotify:artist:1EhnxoXhj5r5DJ6lIWrAQe
Barry Manilow,spotify:artist:3alW3LYQS8K29z8C8NSLIX
Bart Baker,spotify:artist:0sSXa9z76TfMcbAZuokauq
Beast,spotify:artist:1Pr9gT0veB2tgcisQeIGoC
Bei Maejor,spotify:artist:3M7fgnQGLwZCvFJKzR7pT5
Belle & Sebastian,spotify:artist:4I2BJf80C0skQpp1sQmA0h
Belly,spotify:artist:0FOWNUFHPnMy0vOw1siGqi
Berner,spotify:artist:2lrtGWxNXWjd0JzDLKXubI
Bethany Dillon,spotify:artist:7xDONBHUmOSBJ6i1SNgq55
Big Brother & The Holding Company,spotify:artist:4J69yWrKwWJgjv3DKTZcGo
Big L,spotify:artist:30fiiwr2EeZp1tAhzYCmyM
Big Smo,spotify:artist:7eRXja3QOjiMWRgkd5dYwo
Billy Boyd,spotify:artist:1wTKlkGklPb1JMTVUIwAoj
Billy Ray Cyrus,spotify:artist:60rpJ9SgigSd16DOAG7GSa
Bipolar Sunshine,spotify:artist:0CjWKoS55T7DOt0HJuwF1H
Birdtalker,spotify:artist:2sNHl4oXsU0DVTy9u1otGt
38 Special,spotify:artist:3zXw2Eh96iTT51pytzHdZi
888,spotify:artist:2KOCXIEmkM6K82nL9fovWf
A.CHAL,spotify:artist:0pkwrPVI8UyXtPkavyJoZ4
Aaliyah,spotify:artist:0urTpYCsixqZwgNTkPJOJ4
Aaron Krause,spotify:artist:52MFUXZatn0KsT2bdPQI2a
Abbey Road,spotify:artist:2ZRbphsQs3y3DLvTpwprJs
Abraham Mateo,spotify:artist:2bxxlINUlcMQQb39K7IopR
Adult Mom,spotify:artist:7tuwjSE2q4zeBdNObeO7LB
Alessia Cara,spotify:artist:2wUjUUtkb5lvLKcGKsKqsR
Alexi Murdoch,spotify:artist:25mrbNwFzoqPWyYXLhiDRw
Alyssa Micaela,spotify:artist:7k7mCkZfVpQUXTgSowcpej
America,spotify:artist:35U9lQaRWSQISxQAB94Meo
Amy Winehouse,spotify:artist:6Q192DXotxtaysaqNPy5yR
Andreas Moss,spotify:artist:2g6nfqSFo2cPVrafnW85jm
Andrew Bird,spotify:artist:4uSftVc3FPWe6RJuMZNEe9
Anevo,spotify:artist:1FmrdSfTqWOzQoEoaS7MWb
Angela Lansbury,spotify:artist:0LtVJXnPR8msCJiE2DjHxy
Annie Lennox,spotify:artist:5MspMQqdVbdwP6ax3GXqum
Archie Eversole,spotify:artist:0dN0EZG89qHG7MXKqvQjf2
AREA21,spotify:artist:76YIoWHp3Ri3q1ocOPtFzp
Asaf Avidan & the Mojos,spotify:artist:2TwepUY7feaTuipStcyzLZ
Aunt Martha,spotify:artist:7KoKvDse2zPhIBc76CI57V
Autoerotique,spotify:artist:3SvCpwSeoWCcjfo8zjPZKB
Axel Thesleff,spotify:artist:1OpHMC7Qo3lY1sVYaTUQrG
Bad Books,spotify:artist:0e9H8oaYYRCKFXOVv848nt
Bad Bunny,spotify:artist:4q3ewBCX7sLwd24euuV69X
Bad Religion,spotify:artist:2yJwXpWAQOOl5XFzbCxLs9
Bahari,spotify:artist:0fs8oBR1rx7JIXZi75h7Uu
Banda La Costeña,spotify:artist:1r8tUG15NMJEj1j5NynES7
Banda Los Recoditos,spotify:artist:4bPiOPI4V99cepEftvBYak
Banoffee,spotify:artist:0BZ0jp1b95bdcX23MZRU4A
Bart Crow,spotify:artist:0Vdv0pEg0SwdqoEbpP3MJ1
Beck,spotify:artist:3vbKDsSS70ZX9D2OcvbZmS
Bellarive,spotify:artist:65NvBV0QogJroXpNLUTJyX
Ben Khan,spotify:artist:2YwPMfgNYeDjbkGI7PwZ3K
BenZel,spotify:artist:3pO1r7J66KdKt2vWMdSGim
Bette Midler,spotify:artist:13y0kncDD4J9wxCyfKr10W
Betty Everett,spotify:artist:53jXEVVJtpaWVQ3ffvhDtl
Big Mountain,spotify:artist:0Jeckitay8SbvKwqAzWuYH
Big Will,spotify:artist:3uozhfx4j9O9JCGHpp9mTn
Big Z,spotify:artist:1QJ4iU6xJtdrk6HSPUTQ98
