pid,name,num_tracks,num_samples,num_holdouts,actual_track_count
1000000,Party,75,5,70,5
1000001,Oldies,136,25,111,25
1000009,Study Music,129,25,104,25
1000016,school,78,5,73,5
1000020,Modern Music,68,5,63,5
1000023,lit 2.0,54,5,49,5
1000029,Music i like.,164,25,139,25
1000040,bbq,76,5,71,5
1000045,Disney,172,25,147,25
1000049,Classic Jams,65,5,60,5
1000052,dank,80,5,75,5
1000062,Rock,129,25,104,25
1000067,EVERYTHING,176,25,151,25
1000068,Dance,62,5,57,5
1000070,new new,138,25,113,25
1000072,ghetto,149,25,124,25
1000075,game day,112,25,87,25
1000082,Pop Playlist,54,5,49,5
1000083,new country,150,25,125,25
1000084,Oldies,53,5,48,5
1000085,Indie,194,25,169,25
1000086,Film Scores,117,25,92,25
1000088,Special,120,25,95,25
1000092,windows down,55,5,50,5
1000094,august 2017,62,5,57,5
1000095,clasic rock,58,5,53,5
1000098,peach,165,25,140,25
1000100,stubborn love,91,5,86,5
1000103,Prom 2k17,120,25,95,25
1000104,Kpop,61,5,56,5
1000105,Halloween,57,5,52,5
1000111,Romanticas,52,5,47,5
1000113,relax,55,5,50,5
1000115,New Songs!,55,5,50,5
1000116,its not a phase mom ,55,5,50,5
1000122,Mom,84,5,79,5
1000133,workout,174,25,149,25
1000134,Summer Playlist,60,5,55,5
1000135,Main,228,25,203,25
1000138,yay,99,5,94,5
1000140,mine,162,25,137,25
1000141,back then,93,5,88,5
1000149,get low,208,25,183,25
1000153,pop,123,25,98,25
1000154,Classic Jams,133,25,108,25
1000160,gym,57,5,52,5
1000162,Pool Party,53,5,48,5
1000163,En Espanol,121,25,96,25
1000170,turn tf up,85,5,80,5
1000172,Throw back,68,5,63,5
1000178,Chillwave,123,25,98,25
1000181,Throwback Jamz,145,25,120,25
1000189,throwback,93,5,88,5
1000190,Rock,107,25,82,25
1000191,trending ,163,25,138,25
1000193,Hip Hop,123,25,98,25
1000194,Everyone,59,5,54,5
1000198,oldies,69,5,64,5
1000202,aye,65,5,60,5
1000214,Cardio ,66,5,61,5
1000219,oldies,55,5,50,5
1000220,Upbeat,129,25,104,25
1000221,Chillin,187,25,162,25
1000224,White Girl Music,149,25,124,25
1000225,You know,114,25,89,25
1000228,Classic Rock,198,25,173,25
1000230,violet,95,5,90,5
1000231,Classic Rock,235,25,210,25
1000234,everyday jams,167,25,142,25
1000236,Freestyle,53,5,48,5
1000237,Albums,157,25,132,25
1000240,groovy,87,5,82,5
1000241,good stuff,192,25,167,25
1000244,NO LYRICS!,62,5,57,5
1000246,love it,132,25,107,25
1000248,random,58,5,53,5
1000249,Middle School Dance,73,5,68,5
1000251,camping,56,5,51,5
1000253,SUMMAAA,65,5,60,5
1000258,Cloud 9,182,25,157,25
1000262,WorkOut,51,5,46,5
1000264,work,108,25,83,25
1000265,Spoopy,107,25,82,25
1000273,Firefly,102,25,77,25
1000274,Camp,105,25,80,25
1000280,edgy,56,5,51,5
1000282,My favorites,146,25,121,25
1000292,Sleep,83,5,78,5
1000295,jam (:,193,25,168,25
1000297,Da best,126,25,101,25
1000298,Party,104,25,79,25
1000300,Alternative/Pop,193,25,168,25
1000304,Always Good,89,5,84,5
1000305,you know it ;) ,63,5,58,5
1000307,chillin,74,5,69,5
1000308,Classics,155,25,130,25
1000309,Lift ,68,5,63,5
1000312,Roadtrip,108,25,83,25
1000313, Cowboy,94,5,89,5
1000314,Alive,72,5,67,5
1000315,Oldies,103,25,78,25
1000320,yeah,55,5,50,5
1000323,2013/2014,199,25,174,25
1000328,the feels,91,5,86,5
1000335,road trip playlist,51,5,46,5
1000337,throwback,142,25,117,25
1000338,yes,161,25,136,25
1000342,rock,55,5,50,5
1000343,Party Playlist,88,5,83,5
1000344,New,177,25,152,25
1000350,my songs,65,5,60,5
1000355,trap,123,25,98,25
1000356,Blast from the Past,126,25,101,25
1000361,P*A*R*T*Y*,68,5,63,5
1000365,Electronic,196,25,171,25
1000367,throwback ,114,25,89,25
