track_uri,frequency,track_name,artist_name
spotify:track:7yyRTcZmCiyzzJlNzGC9Ol,226,Broccoli (feat. Lil Yachty),DRAM
spotify:track:5dNfHmqgr128gMY2tc5CeJ,220,Ignition - Remix,R. Kelly
spotify:track:5XJJdNPkwmbUwE79gv0NxK,214,Gold Digger,Kanye West
spotify:track:62vpWI1CHwFy7tMIcSStl8,211,No Role Modelz,J. Cole
spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,203,Closer,The Chainsmokers
spotify:track:7KXjTSCq5nL1LoYtL7XAwS,201,HUMBLE.,Kendrick Lamar
spotify:track:27GmP9AWRs744SzKcpJsTZ,198,Jumpman,Drake
spotify:track:1xznGGDReH1oQq0xzbwXa3,195,One Dance,Drake
spotify:track:0v9Wz8o0BT8DU38R4ddjeH,193,No Problem (feat. Lil Wayne & 2 Chainz),Chance The Rapper
spotify:track:4Km5HrUvYTaSUfiSGPJeQR,185,Bad and Boujee (feat. Lil Uzi Vert),Migos
spotify:track:5hTpBe8h35rJ67eAWHQsJx,184,Caroline,Aminé
spotify:track:3a1lNhkSLSkpJE4MSHpDu9,180,Congratulations,Post Malone
spotify:track:0SGkqnVQo9KPytSri1H6cF,171,Bounce Back,Big Sean
spotify:track:0XUfyU2QviPAs6bxSpXYG4,171,Yeah!,Usher
spotify:track:7oK9VyNzrYvRFo7nQEYkWN,170,Mr. Brightside,The Killers
spotify:track:1AhDOtG9vPSOmsWgNW0BEY,166,Bohemian Rhapsody - Remastered 2011,Queen
spotify:track:6O6M7pJLABmfBRoGZMu76Y,164,Roses,The Chainsmokers
spotify:track:343YBumqHu19cGoGARUTsd,159,Fake Love,Drake
spotify:track:5NQbUaeTEOGdD6hHcre0dZ,159,679 (feat. Remy Boyz),Fetty Wap
spotify:track:6eT7xZZlB2mwyzJ2sUKG6w,159,White Iverson,Post Malone
spotify:track:5OOkp4U9P9oL23maHFHL1h,159,Panda,Desiigner
spotify:track:2KpCpk6HjXXLb7nnXoXA5O,158,Ni**as In Paris,JAY Z
spotify:track:152lZdxL1OR0ZMW6KquMif,154,Location,Khalid
spotify:track:6gBFPUFcJLzWGx4lenP6h2,154,goosebumps,Travis Scott
spotify:track:2d8JP84HNLKhmd6IYOoupQ,153,Trap Queen,Fetty Wap
spotify:track:1lzr43nnXAijIGYnCT8M8H,151,It Wasn't Me,Shaggy
spotify:track:7yq4Qj7cqayVTp3FF9CWbm,149,Riptide,Vance Joy
spotify:track:7EiZI6JVHllARrX9PUvAdX,149,Low Life,Future
spotify:track:4bHsxqR3GMrXTxEPLuK5ue,149,Don't Stop Believin',Journey
spotify:track:4X5f3vT8MRuXF68pfjNte5,148,F**kin' Problems,A$AP Rocky
spotify:track:0QsvXIfqM0zZoerQfsI9lm,148,Don't Let Me Down,The Chainsmokers
spotify:track:439TlnnznSiBbQbgXiBqAd,148,m.A.A.d city,Kendrick Lamar
spotify:track:2EEeOnHehOozLq4aS0n6SL,147,iSpy (feat. Lil Yachty),KYLE
spotify:track:2Z8WuEywRWYTKe1NybPQEW,144,Ride,Twenty One Pilots
spotify:track:6fujklziTHa8uoM5OQSfIo,144,Black Beatles,Rae Sremmurd
spotify:track:1wHZx0LgzFHyeIZkUydNXq,141,Antidote,Travis Scott
spotify:track:2FBUoWkIuQXwayw2RNo5l6,140,Hotline Bling,Drake
spotify:track:6C7RJEIUDqKkJRZVWdkfkH,139,Stronger,Kanye West
spotify:track:4w7yrP4RAeeyhfG9nJqQvS,139,I Don't Fuck With You,Big Sean
spotify:track:25khomWgBVamSdKw7hzm3l,138,The Hills,The Weeknd
spotify:track:5uDASfU19gDxSjW8cnCaBp,137,Chill Bill,Rob $tone
spotify:track:40YcuQysJ0KlGQTeGUosTC,137,"Me, Myself & I",G-Eazy
spotify:track:03tqyYWC9Um2ZqU0ZN849H,137,No Hands (feat. Roscoe Dash and Wale) - Explicit Album Version,Waka Flocka Flame
spotify:track:4CJVkjo5WpmUAKp3R44LNb,135,Sweet Home Alabama,Lynyrd Skynyrd
spotify:track:5aAx2yezTd8zXrkmtKl66Z,134,Starboy,The Weeknd
spotify:track:7GX5flRQZVHRAGd6B4TmDO,134,XO TOUR Llif3,Lil Uzi Vert
spotify:track:4gFXY5yvHayGckJndafYQE,133,Buy U a Drank (Shawty Snappin'),T-Pain
spotify:track:3DXncPQOG4VBw3QHh3S817,133,I'm the One,DJ Khaled
spotify:track:5kNe7PE09d6Kvw5pAsx23n,133,Die A Happy Man,Thomas Rhett
spotify:track:0VgkVdmE4gld66l8iyGjgx,132,Mask Off,Future
spotify:track:1Tt4sE4pXi57mTD1GCzsqm,129,Needed Me,Rihanna
spotify:track:2PpruBYCo4H7WOBJ7Q2EwM,129,Hey Ya! - Radio Mix / Club Mix,OutKast
spotify:track:69bp2EbF7Q2rqc5N3ylezZ,129,Sorry,Justin Bieber
spotify:track:5Q0Nhxo0l2bP3pNjpGJwV1,129,Party In The U.S.A.,Miley Cyrus
spotify:track:4WjH9Bzt3kx7z8kl0awxh4,129,Lean On (feat. MØ & DJ Snake),Major Lazer
spotify:track:1Slwb6dOYkBlWal1PGtnNg,128,Thinking Out Loud,Ed Sheeran
spotify:track:6Knv6wdA0luoMUuuoYi2i1,128,My House,Flo Rida
spotify:track:0O45fw2L5vsWpdsOdXwNAR,128,SexyBack,Justin Timberlake
spotify:track:4dGJf1SER1T6ooX46vwzRB,126,Chicken Fried,Zac Brown Band
spotify:track:6RsWqX8zABZLhZydXxEFOm,126,Can't Feel My Face,The Weeknd
spotify:track:6fwdbPMwP1zVStm8FybmkO,126,X (feat. Future),21 Savage
spotify:track:17Fd6Yb7mSbinKG8LoWfFl,125,I Took A Pill In Ibiza - Seeb Remix,Mike Posner
spotify:track:1Ser4X0TKttOvo8bgdytTP,124,Come Get Her,Rae Sremmurd
spotify:track:20dP2DaMHIAmwWAbp7peSr,124,pick up the phone,Young Thug
spotify:track:12REd1n8PeiHHWOh066tpr,124,Never Be Like You,Flume
spotify:track:3kxfsdsCpFgN412fpnW85Y,124,Redbone,Childish Gambino
spotify:track:4kbj5MwxO1bq9wjT5g9HaA,123,Shut Up and Dance,WALK THE MOON
spotify:track:05ZACkzW8YbRq3eFgIfSNB,123,Springsteen,Eric Church
spotify:track:7qiZfU4dY1lWllzX7mPBI3,123,Shape of You,Ed Sheeran
spotify:track:6DNtNfH8hXkqOX1sjqmI7p,122,Cold Water (feat. Justin Bieber & MØ),Major Lazer
spotify:track:0CAfXk7DXMnon4gLudAp7J,121,Low (feat T-Pain) - Feat T-Pain Album Version,Flo Rida
spotify:track:7wwifjNAb172PtDpKK3CoR,121,V. 3005,Childish Gambino
spotify:track:11KJSRSgaDxqydKYiD2Jew,121,Too Good,Drake
spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn,119,Stressed Out,Twenty One Pilots
spotify:track:3pXF1nA74528Edde4of9CC,118,Don't,Bryson Tiller
spotify:track:19a3JfW8BQwqHWUMbcqSx8,117,Famous,Kanye West
spotify:track:4scpF6J5uMBvoh6sFB7EL1,117,No Type,Rae Sremmurd
spotify:track:14WWzenpaEgQZlqPq2nk4v,116,Work,Rihanna
spotify:track:5KY7zgFeH2GWoL1zP9mME6,116,Get Low - Street,Lil Jon & The East Side Boyz
spotify:track:0i5el041vd6nxrGEU8QRxy,116,Cruise,Florida Georgia Line
spotify:track:40riOy7x9W7GXjyGp4pjAv,115,Hotel California - Remastered,Eagles
spotify:track:2FviG1Ma0M0BSZbqaDvw0x,115,House Party,Sam Hunt
spotify:track:3hB5DgAiMAQ4DzYbsMq1IT,115,Love Yourself,Justin Bieber
